1576,quangtinh,2020-08-24 20:49:57,quangtinh,2020-08-24 20:49:57,0,19.99,,"<h4>You won’t (look like you’re about to) break into a sweat with this top: fashionable mesh details provide airy transparency!<h4>
<p>Softly draped jersey with comfy viscose<p>
<p>Sheer mesh inserts on the front of the shoulders and at the centre back<p>
<p>Dropped raglan shoulders<p>
<p>Straight, loose cut<p>
<p>Rounded hem<p>
<h4>Material and care<h4>
<p>Outer fabric: 70% Polyester, 30% Viscose<p>
<p>Trimming: 84% Polyester, 16% Elastane<p>
",Top with mesh details,WOMEN,
1577,quangtinh,2020-08-24 20:50:20,quangtinh,2020-08-24 20:50:21,0,29.99,,"<h4>This brilliant cotton top has a casual cut and glamorous decorative details!<h4>
<p>Soft, pure cotton jersey<p>
<p>Decorative sequin motif on the front<p>
<p>Short sleeves with fixed turn-ups<p>
<p>Slightly fitted yet comfortable cut<p>
<p>Rounded high-low hem<p>
<h4>Size info<h4>
<p>With size S (can vary slightly depending on the size):<p>
<p>Back length: Approx. 68 cm<p>
<h4>Material and care<h4>
<p>Outer fabric: 100% Cotton<p>
","Top with sequins, 100% cotton",WOMEN,
1578,quangtinh,2020-08-24 20:50:47,quangtinh,2020-08-24 20:50:47,0,12.99,,"<h4>Because we love polka dots so much, we always like to style them in new, modern ways: Cotton top with an uneven all-over print and high-quality organic cotton.<h4>
<p>Airy textured slub jersey made of pure cotton including organic cotton<p>
<p>Organic cotton: cotton organically cultivated in a controlled setting<p>
<p>Modern all-over print<p>
<p>Generous round neckline edged with a ribbed trim<p>
<p>Short sleeves with fixed turn-ups<p>
<p>Straight, relaxed cut<p>
<h4>Size info<h4>
<p>With size S (can vary slightly depending on the size):<p>
<p>Back length: Approx. 54 cm<p>
<h4>Material and care<h4>
<p>Outer fabric: 100% Cotton<p>
","T-shirt with a print, 100% cotton",WOMEN,
1579,quangtinh,2020-08-24 20:51:21,quangtinh,2020-08-24 20:51:22,0,19.99,,"<h4>This versatile stretch top with an elegant shimmering print gives your basic and logo a new, shiny touch.<h4>
<p>Soft cotton jersey with stretch for comfort<p>
<p>Shiny logo print on the chest<p>
<p>Generous, round neckline with a narrow ribbed trim<p>
<p>Slightly fitted<p>
<h4>Size info<h4>
<p>With size S (can vary slightly depending on the size):<p>
<p>Back length: Approx. 62 cm<p>
<h4>Material and care<h4>
<p>Outer fabric: 95% Cotton, 5% Elastane<p>
",Stretch T-shirt with a shiny logo,WOMEN,
1580,quangtinh,2020-08-24 20:51:51,quangtinh,2020-08-24 20:51:52,0,19.99,,"<h4>What makes our logo so special? The partially embroidered letters on this print T-shirt with organic cotton!<h4>
<p>Soft, melange jersey made of cotton with organic cotton and touch of viscose<p>
<p>Organic cotton: cotton organically cultivated in a controlled setting<p>
<p>Trendy logo prints with embroidered details on the front<p>
<p>Generous round neckline edged with a ribbed trim<p>
<p>Short sleeves with fixed turn-ups<p>
<p>Straight, comfortable cut<p>
<h4>Size info<h4>
<p>With size S (can vary slightly depending on the size):<p>
<p>Back length: Approx. 56 cm<p>
<h4>Material and care<h4>
<p>Outer fabric: 95% Cotton, 5% Viscose<p>
",T-shirt with print and embroidery,WOMEN,
1581,quangtinh,2020-08-24 20:52:17,quangtinh,2020-08-24 20:52:18,0,19.99,,"<h4>Lightweight jersey and a strong artwork design make this organic cotton T-shirt a wise choice!<h4>
<p>Airy textured cotton jersey made of 100% organic cotton<p>
<p>Decorative artwork motif on the front<p>
<p>Large round neckline<p>
<p>Short, wide sleeves with fixed turn-ups<p>
<h4>Size info<h4>
<p>With size S (can vary slightly depending on the size):<p>
<p>Back length: Approx. 59 cm<p>
<h4>Material and care<h4>
<p>Outer fabric: 100% Cotton<p>
","Slub T-shirt with print, 100% cotton",WOMEN,
1582,quangtinh,2020-08-24 20:53:01,quangtinh,2020-08-24 20:53:02,0,19.99,,"<h4>Made from sustainable organic cotton, this soft T-shirt features a modern statement print that gives off lots of positive vibes.<h4>
<p>Textured jersey made of high-quality organic cotton<p>
<p>Organic cotton: cotton organically cultivated in a controlled setting<p>
<p>V-neckline edged with a trim, reinforced with woven tape in a contrasting colour on the inside<p>
<p>Short sleeves with fixed turn-ups<p>
<p>Straight, loosely figure-skimming cut<p>
<h4>Size info<h4>
<p>With size S (can vary slightly depending on the size):<p>
<p>Back length: Approx. 69 cm<p>
<h4>Material and care<h4>
<p>Outer fabric: 100% Cotton<p>
",Statement T-shirt made of 100% organic cotton,WOMEN,
1531,quangtinh,2020-08-24 20:27:40,quangtinh,2020-08-24 20:27:40,0,19.99,,"<h4>Sophisticated back: Contrasting colour, textured stripes turn this stretch jersey top into a striking eye-catcher.<h4>
<p>Soft, lightweight jersey made of blended cotton with stretch for comfort<p>
<p>Two contrasting colour block stripes with a fine texture on the back<p>
<p>Large round neckline<p>
<p>Wide straps<p>
<p>Straight, loose silhouette<p>
<p>Side hem slits<p>
<h4>Size info<h4>
<p>With size S (can vary slightly depending on the size):<p>
<p>Back length: Approx. 60 cm<p>
<h4>Material and care<h4>
<p>Outer fabric: 50% Cotton, 45% Modal, 5% Elastane<p>
<p>Trimming: 100% Polyester<p>
",Top with textured stripes,WOMEN,
1532,quangtinh,2020-08-24 20:27:52,quangtinh,2020-08-24 20:27:52,0,29.99,,"<h4>A sleeveless version of the classic: This polo top in piqué jersey is wonderfully lightweight and simple.<h4>
<p>Finely grained piqué fabric in blended cotton with organic cotton<p>
<p>Finely ribbed polo collar with a striped, decorative trim on the inside<p>
<p>Long button placket with a fabric strip at the bottom<p>
<p>Armholes with a ribbed trim<p>
<p>Comfortable, figure-hugging cut<p>
<h4>Size info<h4>
<p>With size S (can vary slightly depending on the size):<p>
<p>Back length: Approx. 62 cm<p>
<h4>Material and care<h4>
<p>Outer fabric: 51% Cotton, 49% Polyester<p>
",Sleeveless piqué polo top,WOMEN,
1533,quangtinh,2020-08-24 20:28:14,quangtinh,2020-08-24 20:28:14,0,25.99,,"<h4>Feminine chic under a trouser suit: In this spaghetti strap top with fine lace, you will also be elegantly dressed on hot days.<h4>
<p>Soft, blended cotton modal<p>
<p>Elegant, decorative crocheted lace at the neckline<p>
<p>Dainty, adjustable spaghetti straps<p>
<p>Straight, loose cut<p>
<h4>Size info<h4>
<p>With size S (can vary slightly depending on the size):<p>
<p>Length: Approx. 40 cm (side seam)<p>
<h4>Material and care<h4>
<p>Outer fabric: 50% Cotton, 50% Modal<p>
<p>Lace: 100% Polyester<p>
",Vest top with lace,WOMEN,
