#,id,created_by,created_date,modified_by,modified_date,description,size_type,modifie_by
58,855,quangtinh,2020-08-24 19:51:48,quangtinh,2020-08-24 19:51:48,,30/34,
59,856,quangtinh,2020-08-24 19:51:48,quangtinh,2020-08-24 19:51:48,,31/26,
60,857,quangtinh,2020-08-24 19:51:48,quangtinh,2020-08-24 19:51:48,,31/30,
61,858,quangtinh,2020-08-24 19:51:48,quangtinh,2020-08-24 19:51:48,,31/32,
62,859,quangtinh,2020-08-24 19:51:48,quangtinh,2020-08-24 19:51:48,,31/34,
63,860,quangtinh,2020-08-24 19:51:48,quangtinh,2020-08-24 19:51:48,,33/30,
64,861,quangtinh,2020-08-24 19:51:48,quangtinh,2020-08-24 19:51:49,,33/32,
65,862,quangtinh,2020-08-24 19:51:49,quangtinh,2020-08-24 19:51:49,,33/34,
66,863,quangtinh,2020-08-24 19:54:01,quangtinh,2020-08-24 19:54:01,,32/24,
67,864,quangtinh,2020-08-24 19:54:01,quangtinh,2020-08-24 19:54:01,,34/24,
68,865,quangtinh,2020-08-24 19:54:01,quangtinh,2020-08-24 19:54:01,,36/24,
69,866,quangtinh,2020-08-24 19:54:01,quangtinh,2020-08-24 19:54:01,,38/24,
70,867,quangtinh,2020-08-24 19:54:01,quangtinh,2020-08-24 19:54:01,,40/24,
71,868,quangtinh,2020-08-24 19:54:01,quangtinh,2020-08-24 19:54:01,,42/24,
72,869,quangtinh,2020-08-24 19:54:01,quangtinh,2020-08-24 19:54:01,,44/24,
73,870,quangtinh,2020-08-24 19:54:20,quangtinh,2020-08-24 19:54:20,,36,
74,871,quangtinh,2020-08-24 19:54:20,quangtinh,2020-08-24 19:54:20,,37,
75,872,quangtinh,2020-08-24 19:54:20,quangtinh,2020-08-24 19:54:20,,38,
76,873,quangtinh,2020-08-24 19:54:20,quangtinh,2020-08-24 19:54:20,,39,
77,874,quangtinh,2020-08-24 19:54:20,quangtinh,2020-08-24 19:54:20,,40,
78,875,quangtinh,2020-08-24 19:54:20,quangtinh,2020-08-24 19:54:20,,41,
79,876,quangtinh,2020-08-24 19:54:20,quangtinh,2020-08-24 19:54:20,,42,
80,877,quangtinh,2020-08-24 19:56:14,quangtinh,2020-08-24 19:56:14,,32,
81,878,quangtinh,2020-08-24 19:56:14,quangtinh,2020-08-24 19:56:14,,34,
82,879,quangtinh,2020-08-24 19:56:14,quangtinh,2020-08-24 19:56:14,,44,
83,880,quangtinh,2020-08-24 19:56:43,quangtinh,2020-08-24 19:56:43,,30,
84,881,quangtinh,2020-08-24 19:58:51,quangtinh,2020-08-24 19:58:51,,75,
85,882,quangtinh,2020-08-24 19:58:51,quangtinh,2020-08-24 19:58:51,,80,
86,883,quangtinh,2020-08-24 19:58:51,quangtinh,2020-08-24 19:58:51,,85,
87,884,quangtinh,2020-08-24 19:58:51,quangtinh,2020-08-24 19:58:52,,90,
88,885,quangtinh,2020-08-24 19:58:52,quangtinh,2020-08-24 19:58:52,,95,
89,886,quangtinh,2020-08-24 19:58:52,quangtinh,2020-08-24 19:58:52,,100,
90,887,quangtinh,2020-08-24 20:01:55,quangtinh,2020-08-24 20:01:55,,46,
91,888,quangtinh,2020-08-24 20:01:55,quangtinh,2020-08-24 20:01:55,,48,
92,889,quangtinh,2020-08-24 20:01:55,quangtinh,2020-08-24 20:01:55,,50,
93,890,quangtinh,2020-08-24 20:01:55,quangtinh,2020-08-24 20:01:56,,52,
94,891,quangtinh,2020-08-24 20:02:07,quangtinh,2020-08-24 20:02:07,,46/28,
95,892,quangtinh,2020-08-24 20:02:07,quangtinh,2020-08-24 20:02:07,,48/28,
96,893,quangtinh,2020-08-24 20:02:07,quangtinh,2020-08-24 20:02:07,,50/28,
97,894,quangtinh,2020-08-24 20:02:07,quangtinh,2020-08-24 20:02:07,,52/28,
98,895,quangtinh,2020-10-02 12:55:20,,2020-10-02 12:55:20,,25/32,quangtinh
